Day;articleforge;articoolo;chatgpt;copysmith;jasper;kafkai;peppertype;rytr;writesonic.com
13-01-23;36;0;36;34;0;0;28;0;0
14-01-23;0;0;18;27;0;0;0;0;77
15-01-23;0;0;7;0;21;0;0;0;0
16-01-23;0;0;33;46;0;25;0;32;0
17-01-23;43;0;24;0;0;0;0;0;0
18-01-23;0;72;37;0;63;0;19;100;0
19-01-23;0;0;40;30;0;0;0;0;0
20-01-23;0;0;27;0;0;0;43;0;0
21-01-23;0;0;32;0;0;0;0;0;0
22-01-23;0;0;14;0;29;0;43;0;64
23-01-23;0;0;40;65;0;0;41;26;0
24-01-23;0;0;36;32;27;0;0;0;0
25-01-23;0;77;51;0;22;0;88;0;0
26-01-23;0;0;46;0;0;0;41;29;0
27-01-23;0;67;36;0;25;0;0;28;0
28-01-23;42;0;28;0;0;0;22;0;0
29-01-23;0;0;20;0;0;0;0;0;0
30-01-23;0;81;48;0;0;0;0;0;0
31-01-23;0;0;67;0;16;0;31;28;69
01-02-23;0;0;64;0;0;0;0;78;39
02-02-23;0;0;46;0;17;0;0;0;70
03-02-23;0;45;46;0;36;0;0;63;0
04-02-23;0;0;32;0;0;0;21;0;0
05-02-23;0;0;50;100;0;0;0;0;0
06-02-23;0;0;71;0;0;40;0;0;0
07-02-23;0;0;56;0;17;0;0;0;0
08-02-23;0;0;51;0;0;0;41;0;74
09-02-23;0;0;51;52;0;100;56;0;0
10-02-23;100;0;44;0;52;0;100;0;0
11-02-23;0;0;47;0;26;0;0;0;100
12-02-23;0;0;36;65;0;79;91;32;56
13-02-23;0;0;60;0;0;33;40;0;0
14-02-23;0;0;56;0;0;0;0;0;0
15-02-23;0;0;55;0;41;0;0;0;0
16-02-23;47;0;56;0;0;0;0;0;0
17-02-23;0;0;44;0;0;0;0;0;35
18-02-23;67;0;23;0;0;0;0;0;0
19-02-23;0;53;34;0;0;0;0;0;0
20-02-23;0;0;68;0;25;29;0;46;0
21-02-23;0;0;56;0;55;0;18;0;42
22-02-23;0;0;57;0;99;0;0;40;67
23-02-23;0;0;56;0;39;43;0;0;37
24-02-23;0;0;46;0;0;37;29;0;0
25-02-23;0;0;27;0;0;24;34;0;0
26-02-23;0;0;35;0;0;0;0;0;0
27-02-23;40;0;40;0;0;0;0;0;37
28-02-23;0;0;60;0;0;0;23;0;0
01-03-23;0;0;51;0;0;36;0;0;0
02-03-23;0;0;65;69;24;0;0;0;0
03-03-23;0;0;43;87;0;23;28;0;0
04-03-23;0;0;28;0;0;34;0;39;0
05-03-23;0;0;23;0;0;0;0;0;0
06-03-23;0;0;39;0;0;0;0;0;0
07-03-23;0;0;56;0;0;0;0;0;0
08-03-23;0;0;53;0;0;0;0;0;0
09-03-23;0;0;42;0;23;0;0;97;0
10-03-23;32;0;54;0;47;0;0;0;0
11-03-23;0;0;44;0;50;0;0;0;0
12-03-23;0;100;43;0;0;36;0;0;52
13-03-23;0;55;40;0;51;0;0;0;0
14-03-23;0;0;60;0;19;0;0;53;0
15-03-23;0;0;76;0;0;0;0;0;35
16-03-23;53;0;59;0;29;0;0;0;0
17-03-23;0;51;66;0;0;67;32;0;0
18-03-23;0;0;43;61;0;0;0;0;0
19-03-23;0;0;53;0;0;77;0;0;63
20-03-23;0;0;94;0;65;0;32;55;71
21-03-23;0;0;81;0;0;0;0;0;0
22-03-23;0;0;100;0;0;0;0;0;0
23-03-23;0;0;62;78;0;31;0;0;0
24-03-23;0;0;82;0;0;29;22;0;0
25-03-23;0;0;44;0;0;0;0;0;0
26-03-23;0;0;41;31;0;0;0;34;0
27-03-23;0;0;69;0;25;0;0;0;0
28-03-23;0;63;86;61;0;0;0;0;0
29-03-23;0;0;89;0;100;0;0;0;41
30-03-23;0;0;79;0;16;0;0;26;0
31-03-23;75;0;80;0;0;0;0;0;0
01-04-23;42;0;70;0;0;0;0;0;0
02-04-23;0;0;33;0;33;25;0;82;0
03-04-23;0;0;75;0;19;0;0;0;70
04-04-23;63;0;92;0;0;0;0;0;67
05-04-23;0;0;64;0;34;0;0;0;0
06-04-23;0;0;76;0;0;0;0;0;0
07-04-23;51;0;77;0;20;0;0;0;0
08-04-23;0;0;44;0;68;0;59;0;0
09-04-23;0;0;38;0;0;0;35;0;0
