Day;rytr;peppertype;chatgpt;jasper: (Worldwide);copysmith: (Worldwide);kafkai: (Worldwide);articoolo: (Worldwide);articleforge: (Worldwide);writesonic: (Worldwide)
2023-01-13;80;0;32;87;65;37;49;0;54
2023-01-14;64;0;26;77;0;0;0;0;39
2023-01-15;49;0;27;78;0;0;45;0;56
2023-01-16;85;0;36;84;22;0;0;23;64
2023-01-17;82;13;40;81;0;0;0;0;69
2023-01-18;75;0;42;86;0;0;0;0;84
2023-01-19;74;3;38;78;46;0;0;0;67
2023-01-20;76;4;38;78;0;0;0;0;74
2023-01-21;64;4;31;79;0;0;0;0;41
2023-01-22;64;0;34;80;27;29;19;0;58
2023-01-23;66;4;42;93;100;0;27;0;58
2023-01-24;71;3;47;90;41;0;0;29;70
2023-01-25;100;0;49;93;18;0;0;39;66
2023-01-26;63;5;48;84;34;0;0;0;51
2023-01-27;69;0;46;82;45;0;0;55;59
2023-01-28;48;0;39;76;0;0;0;0;45
2023-01-29;46;7;41;77;0;0;0;0;34
2023-01-30;58;0;53;86;20;0;25;0;60
2023-01-31;74;3;57;89;33;0;0;0;58
2023-02-01;78;0;55;83;19;0;0;17;76
2023-02-02;64;6;59;78;0;0;0;0;68
2023-02-03;65;3;57;83;47;31;0;31;61
2023-02-04;50;3;47;79;0;0;0;34;47
2023-02-05;55;6;50;74;0;0;28;0;51
2023-02-06;71;3;61;87;24;0;0;45;69
2023-02-07;84;0;72;89;35;17;0;0;75
2023-02-08;74;0;73;89;47;0;0;47;73
2023-02-09;74;4;72;84;25;27;33;0;59
2023-02-10;58;3;63;82;0;0;0;0;65
2023-02-11;60;0;57;78;0;21;0;0;54
2023-02-12;60;0;57;73;33;0;26;0;38
2023-02-13;81;4;68;83;46;0;0;0;50
2023-02-14;85;0;68;87;31;0;32;0;72
2023-02-15;73;5;67;84;18;0;0;0;72
2023-02-16;91;0;68;83;0;0;0;43;69
2023-02-17;59;9;62;84;0;0;0;21;53
2023-02-18;54;0;55;79;0;0;0;0;54
2023-02-19;71;0;58;80;0;0;0;0;65
2023-02-20;61;6;66;81;23;0;0;0;64
2023-02-21;77;0;75;95;0;0;20;0;87
2023-02-22;72;5;71;84;27;0;0;0;69
2023-02-23;62;0;70;83;0;0;23;0;58
2023-02-24;72;4;61;79;0;0;37;0;52
2023-02-25;58;3;49;75;0;0;0;0;35
2023-02-26;57;6;52;72;45;0;0;0;42
2023-02-27;98;3;74;93;34;0;0;0;64
2023-02-28;78;3;67;82;29;0;0;0;45
2023-03-01;57;5;66;76;33;0;0;0;47
2023-03-02;64;0;64;83;0;0;26;0;57
2023-03-03;64;3;60;81;0;21;0;0;34
2023-03-04;49;0;50;76;0;0;0;0;33
2023-03-05;37;0;50;75;0;0;0;0;49
2023-03-06;73;3;65;77;0;0;0;0;65
2023-03-07;78;0;63;82;42;0;0;0;68
2023-03-08;50;0;66;83;0;0;39;17;52
2023-03-09;58;5;67;81;33;0;26;0;49
2023-03-10;51;9;63;79;0;0;0;0;53
2023-03-11;51;0;51;75;20;0;19;24;60
2023-03-12;57;0;54;73;0;0;0;0;61
2023-03-13;61;2;66;85;22;0;0;78;63
2023-03-14;72;0;72;89;0;0;0;0;65
2023-03-15;59;4;83;87;0;0;0;31;75
2023-03-16;45;4;76;90;0;47;0;0;67
2023-03-17;58;0;73;85;0;0;0;27;51
2023-03-18;33;7;58;79;0;0;0;0;55
2023-03-19;30;0;64;79;20;0;21;0;52
2023-03-20;57;9;100;100;24;0;20;0;100
2023-03-21;57;5;83;85;0;0;0;0;74
2023-03-22;52;6;82;87;0;32;67;0;76
2023-03-23;55;0;83;93;0;0;19;0;64
2023-03-24;48;9;80;94;31;0;0;26;60
2023-03-25;44;0;62;78;29;72;22;0;34
2023-03-26;45;0;69;86;0;0;55;0;63
2023-03-27;81;0;86;94;35;0;0;0;66
2023-03-28;59;5;90;86;0;25;0;0;60
2023-03-29;53;0;94;90;17;41;19;0;79
2023-03-30;64;0;97;88;24;19;0;17;73
2023-03-31;64;9;85;84;18;18;0;23;60
2023-04-01;28;3;68;74;36;0;27;0;41
2023-04-02;41;0;71;76;0;0;0;0;52
2023-04-03;59;5;88;82;0;0;0;0;77
2023-04-04;67;3;89;88;0;0;0;0;56
2023-04-05;52;12;84;92;0;0;0;0;54
2023-04-06;59;6;82;80;0;0;0;0;57
2023-04-07;37;0;76;84;24;0;75;33;40
2023-04-08;32;0;66;82;0;0;0;0;31
2023-04-09;38;6;70;82;0;73;28;0;31
