Day;writesonic;jasper;rytr;copysmith;peppertype
2023-01-13;0;0;0;23;24
2023-01-14;0;0;0;18;0
2023-01-15;0;21;0;0;0
2023-01-16;0;0;24;31;0
2023-01-17;46;0;0;0;0
2023-01-18;0;63;0;0;16
2023-01-19;0;0;0;20;0
2023-01-20;0;0;0;0;0
2023-01-21;0;0;0;0;0
2023-01-22;0;29;0;0;36
2023-01-23;0;0;19;0;35
2023-01-24;0;27;0;21;0
2023-01-25;0;22;0;0;76
2023-01-26;0;0;42;0;35
2023-01-27;0;21;21;0;0
2023-01-28;37;0;0;0;19
2023-01-29;35;0;0;0;0
2023-01-30;0;0;0;0;0
2023-01-31;0;16;21;0;27
2023-02-01;0;0;58;0;0
2023-02-02;0;17;0;0;0
2023-02-03;0;36;47;0;0
2023-02-04;0;0;0;0;18
2023-02-05;0;0;0;66;0
2023-02-06;0;0;0;0;0
2023-02-07;23;17;20;0;0
2023-02-08;0;0;0;0;35
2023-02-09;17;0;0;35;47
2023-02-10;0;52;0;0;86
2023-02-11;22;26;0;0;0
2023-02-12;0;0;24;44;78
2023-02-13;17;0;0;0;34
2023-02-14;0;0;0;0;0
2023-02-15;18;41;0;0;23
2023-02-16;0;0;0;0;0
2023-02-17;0;0;0;0;0
2023-02-18;0;0;0;0;0
2023-02-19;0;0;0;0;0
2023-02-20;0;25;34;0;0
2023-02-21;28;55;0;0;16
2023-02-22;61;99;30;0;0
2023-02-23;34;39;0;0;0
2023-02-24;0;0;0;0;25
2023-02-25;0;0;0;0;29
2023-02-26;0;0;0;0;0
2023-02-27;0;0;0;0;0
2023-02-28;0;0;0;0;0
2023-03-01;0;0;0;0;0
2023-03-02;0;24;0;46;0
2023-03-03;0;0;0;58;24
2023-03-04;31;0;29;0;0
2023-03-05;0;0;0;0;0
2023-03-06;0;0;0;0;0
2023-03-07;0;0;0;0;0
2023-03-08;0;0;0;0;0
2023-03-09;0;24;75;0;0
2023-03-10;0;47;0;0;0
2023-03-11;0;50;0;0;0
2023-03-12;0;0;0;0;0
2023-03-13;0;51;0;0;0
2023-03-14;0;19;40;0;0
2023-03-15;0;0;0;0;0
2023-03-16;0;29;0;0;0
2023-03-17;0;0;0;0;28
2023-03-18;0;0;0;40;0
2023-03-19;18;0;0;0;0
2023-03-20;0;65;41;0;27
2023-03-21;0;0;0;0;0
2023-03-22;0;0;0;0;0
2023-03-23;0;0;0;52;0
2023-03-24;0;0;0;0;19
2023-03-25;48;0;0;0;0
2023-03-26;0;0;26;21;0
2023-03-27;0;25;0;0;0
2023-03-28;0;0;0;41;0
2023-03-29;18;100;0;0;0
2023-03-30;0;0;19;0;0
2023-03-31;0;0;0;0;0
2023-04-01;0;0;0;0;0
2023-04-02;0;33;61;0;0
2023-04-03;0;19;0;0;0
2023-04-04;0;0;0;0;0
2023-04-05;0;34;0;0;0
2023-04-06;0;0;0;0;0
2023-04-07;19;0;60;0;0
2023-04-08;0;78;0;0;0
2023-04-09;0;51;30;23;0
