Day;writesonic;chatgpt;jasper;rytr
2023-01-13;0;34;0;0
2023-01-14;0;17;0;0
2023-01-15;0;6;4;0
2023-01-16;0;31;0;5
2023-01-17;10;23;0;0
2023-01-18;0;35;13;0
2023-01-19;0;38;0;0
2023-01-20;0;26;0;0
2023-01-21;0;30;0;0
2023-01-22;0;14;6;0
2023-01-23;0;38;0;4
2023-01-24;0;33;6;0
2023-01-25;0;48;5;0
2023-01-26;0;43;0;9
2023-01-27;0;34;4;4
2023-01-28;8;27;0;0
2023-01-29;7;19;0;0
2023-01-30;0;45;0;0
2023-01-31;0;63;3;4
2023-02-01;0;60;0;12
2023-02-02;0;43;4;0
2023-02-03;0;44;8;10
2023-02-04;0;30;0;0
2023-02-05;0;47;0;0
2023-02-06;0;66;0;0
2023-02-07;5;53;4;4
2023-02-08;0;48;0;0
2023-02-09;4;48;0;0
2023-02-10;0;42;11;0
2023-02-11;5;44;5;0
2023-02-12;0;34;0;5
2023-02-13;4;53;0;0
2023-02-14;0;52;0;0
2023-02-15;4;52;9;0
2023-02-16;0;53;0;0
2023-02-17;0;46;0;0
2023-02-18;0;22;0;0
2023-02-19;0;32;0;0
2023-02-20;0;64;5;7
2023-02-21;6;53;12;0
2023-02-22;13;53;21;6
2023-02-23;7;53;8;0
2023-02-24;0;43;0;0
2023-02-25;0;26;0;0
2023-02-26;0;33;0;0
2023-02-27;0;37;0;0
2023-02-28;0;57;0;0
2023-03-01;0;48;0;0
2023-03-02;0;61;5;0
2023-03-03;0;40;0;0
2023-03-04;7;27;0;6
2023-03-05;0;21;0;0
2023-03-06;0;37;0;0
2023-03-07;0;53;0;0
2023-03-08;0;50;0;0
2023-03-09;0;39;5;15
2023-03-10;0;51;10;0
2023-03-11;0;42;11;0
2023-03-12;0;41;0;0
2023-03-13;0;42;11;0
2023-03-14;0;53;4;8
2023-03-15;0;72;0;0
2023-03-16;0;65;6;0
2023-03-17;0;62;0;0
2023-03-18;0;41;0;0
2023-03-19;4;50;0;0
2023-03-20;0;89;14;9
2023-03-21;0;77;0;0
2023-03-22;0;94;0;0
2023-03-23;0;59;0;0
2023-03-24;0;77;0;0
2023-03-25;10;30;0;0
2023-03-26;0;40;0;5
2023-03-27;0;65;5;0
2023-03-28;0;81;0;0
2023-03-29;4;100;21;0
2023-03-30;0;74;0;4
2023-03-31;0;75;0;0
2023-04-01;0;66;0;0
2023-04-02;0;31;7;13
2023-04-03;0;65;4;0
2023-04-04;0;74;0;0
2023-04-05;0;60;7;0
2023-04-06;0;74;7;0
2023-04-07;0;71;0;4
2023-04-08;0;49;0;0
2023-04-09;0;48;0;0
